"Enabled","Enabled"
"API Url","API Url"
"API User","API User"
"API Password","API Password"
"General","General"
"Guest","Guest"
"Magento subscribers are successfully synchronized to Inxmail.","Magento subscribers are successfully synchronized to Inxmail"
"Migration","Migration"
"Inxmail List","Inxmail List"
"Fields to synchronize","Fields to synchronize"
"Merge all subscribers from Magento with the given Inxmail list in context of Store-Views","Merge all subscribers from Magento with the given Inxmail list in context of Store-Views"
"Please, by migration rerun, be aware of subscribed recepients who have not yet confirmed registration or deleted from Inxmail. In this case, subscriptions / unsubscriptions are automatically transferred to Inxmail.","Please, by migration rerun, be aware of subscribed recepients who have not yet confirmed registration or deleted from Inxmail. In this case, subscriptions / unsubscriptions are automatically transferred to Inxmail."
"Select your Inxmail list","Select your Inxmail list"
"Mapping <strong>{customer_attribute}:{inxmail_attribute}</strong><br/><span class="notice">If the {inxmail_attribute} is not defined, the value of {customer_attribute} will be taken</span>","Mapping <strong>{customer_attribute}:{inxmail_attribute}</strong><br/><span class="notice">If the {inxmail_attribute} is not defined, the value of {customer_attribute} will be taken</span>"
"Perform migration now","Perform migration now"
"Synchronize now","Synchronize now"
"Disabled","Disabled"
"No list selected","No list selected"
"No list defined in configuration","No list defined in configuration"
"No column available","No column available"
"No list available","No list available"
"Inxmail session does not exist","Inxmail session does not exist"
"Yes","Yes"
"No","No"
"Inxmail API Error: %s","Inxmail API Error: %s"
"Mapping Customer Fields","Mapping Customer Fields"
"Mapping Dynamic Fields","Mapping Dynamic Fields"
"Customer ID","Customer ID"
"Website ID","Website ID"
"Group ID","Group ID"
"Store ID","Store ID"
"Creation Date","Creation Date"
"Update Date","Update Date"
"Customer is active","Customer is active"
"Firstname","Firstname"
"Lastname","Lastname"
"First Order","First Order"
"Last Order","Last Order"
"Total Orders","Total Orders"
"AVG Orders","AVG Orders"
"Last Connection","Last Connection"
`Error truncating Inxmail list","Error truncating Inxmail list"
"Customer Group","Customer Group"
"Mapping Customer Group","Mapping Customer Group"
"Specific groups customer limit","Specific groups customer limit"
"Last customers (specific)","Last customers (specific)"
"Best customers (specific)","Best customers (specific)"
"Customers birthday (specific)","Customers birthday (specific)"
"Abandonned carts (specific)","Abandonned carts (specific)"
"Today orders (specific)","Today orders (specific)"
"You have selected the Birthday group even though the date of birth is not enabled on your shop","You have selected the Birthday group even though the date of birth is not enabled on your shop"
"Image Width","Image Width"
"Image Height","Image Height"
"Add Specific Attributes","Add Specific Attributes"
"Number Of Products In The Feed","Number Of Products In The Feed"
"Unsubscribed customer synchronization","Unsubscribed customer synchronization"
"Customer groups synchronization","Customer groups synchronization"
"Frequency","Frequency"
"Start Time","Start Time"
"Daily","Daily"
"Weekly","Weekly"
"Monthly","Monthly"
"Mapping","Mapping"
"Launch manually","Launch manually"
"Synchronize All Groups","Synchronize All Groups"
"Customers per pass","Customers per pass"
